_id.courseId,_id.sectionId,_id.unitId,_id.%_complete,count
43,5,5,20,6
43,5,5,30,6
43,5,5,40,6
43,5,5,50,5
43,5,5,60,6
43,5,5,70,6
43,5,5,80,6
43,5,5,90,6
43,5,5,100,6
43,5,8,20,6
43,5,8,40,5
43,5,8,60,5
43,5,8,80,5
43,5,8,100,5
43,6,1,10,8
43,6,1,20,7
43,6,1,30,8
43,6,1,40,9
43,6,1,50,8
43,6,1,60,8
43,6,1,70,8
43,6,1,80,8
43,6,1,90,8
43,6,1,100,8
43,6,6,20,8
43,6,6,50,8
43,6,6,70,8
43,6,6,100,7
43,7,1,10,10
43,7,1,20,10
43,7,1,30,9
43,7,1,40,9
43,7,1,50,8
43,7,1,60,8
43,7,1,70,9
43,7,1,80,8
43,7,1,90,8
43,7,1,100,7
43,7,6,10,8
43,7,6,20,7
43,7,6,50,6
43,7,6,60,6
43,7,6,70,6
43,7,6,100,5
46,1,1,10,929
46,1,1,20,814
46,1,1,30,762
46,1,1,40,728
46,1,1,50,720
46,1,1,60,706
46,1,1,70,703
46,1,1,80,697
46,1,1,90,696
46,1,1,100,658
46,2,1,10,626
46,2,1,20,598
46,2,1,30,577
46,2,1,40,571
46,2,1,50,563
46,2,1,60,545
46,2,1,70,534
46,2,1,80,519
46,2,1,90,514
46,2,1,100,440
46,3,13,10,270
46,3,13,20,260
46,3,13,30,257
46,3,13,40,254
46,3,13,50,245
46,3,13,60,234
46,3,13,70,232
46,3,13,80,225
46,3,13,90,220
46,3,13,100,161
46,3,18,10,265
46,3,18,20,256
46,3,18,30,254
46,3,18,40,250
46,3,18,50,240
46,3,18,60,237
46,3,18,70,232
46,3,18,80,232
46,3,18,90,231
46,3,18,100,194
46,4,1,10,257
46,4,1,20,244
46,4,1,30,240
46,4,1,40,234
46,4,1,50,230
46,4,1,60,228
46,4,1,70,228
46,4,1,80,215
46,4,1,90,212
46,4,1,100,213
46',1,1,10,1
46',1,1,20,1
46',1,1,30,1
46',1,1,40,1
46',1,1,50,1
46',1,1,60,1
46',1,1,70,1
54,1,1,10,53
54,1,1,20,51
54,1,1,30,46
54,1,1,40,47
54,1,1,50,45
54,1,1,60,45
54,1,1,70,45
54,1,1,80,45
54,1,1,90,43
54,1,1,100,42
54,1,10,10,21
54,1,10,20,21
54,1,10,30,20
54,1,10,40,20
54,1,10,50,21
54,1,10,60,17
54,1,10,70,17
54,1,10,80,17
54,1,10,90,19
54,1,10,100,18
54,1,14,10,20
54,1,14,20,18
54,1,14,30,16
54,1,14,40,16
54,1,14,50,16
54,1,14,60,16
54,1,14,70,15
54,1,14,80,16
54,1,14,90,15
54,1,14,100,17
54,1,2,10,41
54,1,2,20,37
54,1,2,30,35
54,1,2,40,36
54,1,2,50,35
54,1,2,60,32
54,1,2,70,33
54,1,2,80,31
54,1,2,90,30
54,1,2,100,26
54,1,8,10,27
54,1,8,20,23
54,1,8,30,22
54,1,8,40,24
54,1,8,50,20
54,1,8,60,23
54,1,8,70,23
54,1,8,80,23
54,1,8,90,23
54,1,8,100,21
54,2,1,10,13
54,2,1,20,13
54,2,1,30,13
54,2,1,40,13
54,2,1,50,12
54,2,1,60,12
54,2,1,70,12
54,2,1,80,12
54,2,1,90,12
54,2,1,100,12
54,2,12,20,9
54,2,12,40,11
54,2,12,50,11
54,2,12,70,10
54,2,12,90,10
54,2,12,100,11
54,2,5,10,12
